Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
Abdoul Razzagui Camara,1,5,12,11,0,1,2,0,3,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,4,,,,,,,,,,,,,
Milan Bisevac,0,17,6,11,1,4,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Simon Falette,1,50,35,31,4,20,6,5,13,4,2,1,3,0,3,0,1,0,3,0,1,0,0,0,0,0,3,1,0,,,,,,,,,,,,,
Nolan Roux,1,18,40,31,4,9,2,2,13,5,0,0,1,0,1,4,1,0,0,0,0,1,0,0,1,0,3,3,9,,,,,,,,,,,,,
Thomas Didillon,0,5,1,3,5,4,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Fallou Diagne,1,39,21,21,3,24,4,4,10,2,0,1,0,0,2,0,0,0,1,0,1,2,0,0,0,0,3,0,2,,,,,,,,,,,,,
Yann Jouffre,1,5,6,7,1,0,4,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,,,,,,,,,,,,,
Yannis Salibur,1,14,17,29,5,3,2,0,8,3,2,4,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,7,2,,,,,,,,,,,,,
Lucas Deaux,1,36,32,34,9,15,6,3,15,3,0,2,2,0,4,1,2,0,2,0,0,2,0,0,0,0,1,1,0,,,,,,,,,,,,,
Marcus Coco,1,16,33,11,7,5,2,2,6,2,0,3,3,4,1,4,2,0,1,0,0,0,0,0,0,0,3,4,4,,,,,,,,,,,,,
Jimmy Briand,1,25,44,39,8,15,4,2,14,2,0,6,4,2,1,5,5,2,1,4,0,2,1,0,0,0,2,5,7,,,,,,,,,,,,,
Karl-Johan Johnsson,1,19,23,18,8,5,0,6,6,1,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Gauthier Hein,1,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Geronimo Gaston Poblete,1,25,21,31,4,19,8,1,16,4,0,2,3,0,2,1,3,0,0,0,0,1,0,0,0,0,1,2,0,,,,,,,,,,,,,
Renaud Cohade,1,54,55,78,13,21,2,6,26,6,4,9,3,8,6,6,5,0,3,2,1,2,1,0,0,1,7,6,3,,,,,,,,,,,,,
Ivan Balliu Campeny,1,32,36,30,4,8,16,2,8,2,6,2,2,0,4,0,2,1,1,0,1,0,0,0,0,2,1,0,0,,,,,,,,,,,,,
Benoit Assou-Ekotto,1,14,17,8,0,7,2,1,11,3,0,2,0,0,2,1,0,0,1,0,0,1,0,0,0,0,3,0,1,,,,,,,,,,,,,
Ludovic Blas,1,30,26,32,6,11,2,3,9,6,2,3,5,2,5,4,1,0,0,0,0,1,0,0,0,0,2,0,2,,,,,,,,,,,,,
Florent Mollet,1,22,15,33,3,3,0,2,22,0,0,9,7,0,2,0,0,1,0,2,0,1,0,0,0,0,3,2,4,,,,,,,,,,,,,
Ibrahima Niane,1,5,13,6,1,4,0,1,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,4,,,,,,,,,,,,,
Habibou Mouhamadou Diallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moustapha Elhadji Diallo,0,22,17,27,5,10,4,3,9,1,0,0,0,0,2,1,3,0,0,0,0,0,2,0,0,0,3,1,2,,,,,,,,,,,,,
Radamel Falcao Garcia Zarate,0,16,18,15,12,11,6,4,7,0,0,8,0,0,1,2,0,0,0,0,0,1,0,0,1,0,2,2,3,,,,,,,,,,,,,
Joao Filipe Iria Santos Moutinho,1,41,37,69,15,20,16,10,41,2,0,5,10,4,3,1,4,0,4,2,0,2,0,0,0,1,5,8,0,,,,,,,,,,,,,
Djibril Sidibe,1,45,35,31,8,19,26,5,13,7,10,8,4,2,2,2,4,2,1,0,0,0,0,0,1,0,5,5,3,,,,,,,,,,,,,
Kamil Glik,1,44,34,27,2,29,10,7,28,1,0,1,2,0,2,0,2,0,3,0,1,2,0,0,0,0,2,2,2,,,,,,,,,,,,,
Jemerson de Jesus Nascimento,1,42,17,28,8,24,6,5,19,1,0,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,1,1,,,,,,,,,,,,,
Corentin Jean,1,9,11,8,6,7,4,1,7,0,0,6,3,2,0,2,3,1,0,0,0,0,0,0,0,0,1,4,1,,,,,,,,,,,,,
Kelvin Amian Adou,1,51,23,39,10,19,8,2,18,2,2,3,3,2,2,2,0,0,1,0,0,2,0,0,0,0,2,2,1,,,,,,,,,,,,,
Jorge Marco de Oliveira Moraes,1,16,25,15,1,17,6,1,7,1,2,7,2,0,0,1,0,1,2,2,0,0,0,0,0,0,4,2,0,,,,,,,,,,,,,
Thomas Lemar,1,21,41,35,4,8,4,2,10,4,4,2,4,4,1,1,1,2,0,2,0,3,1,0,0,0,1,4,10,,,,,,,,,,,,,
Kylian Mbappe Lottin,1,11,22,12,6,6,4,1,5,2,2,6,2,0,0,5,2,0,0,0,0,0,0,0,0,1,3,10,13,,,,,,,,,,,,,
Christopher Jullien,1,49,29,23,4,21,10,10,21,0,4,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,4,,,,,,,,,,,,,
Jimmy Durmaz,1,7,11,12,10,5,0,1,8,1,0,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,3,2,0,,,,,,,,,,,,,
Andy Delort,1,13,40,18,4,6,0,0,12,2,4,3,1,4,0,9,1,1,0,0,1,1,0,0,0,0,1,7,10,,,,,,,,,,,,,
Marcos Paulo Mesquita Lopes,1,17,29,16,5,12,6,0,12,3,0,4,0,2,0,3,1,0,0,1,0,4,0,0,0,0,0,7,1,,,,,,,,,,,,,
Zinedine Machach,0,1,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Alexis Blin,1,26,28,26,4,11,10,1,12,3,2,2,2,0,3,1,3,1,0,0,0,4,0,0,0,0,5,2,0,,,,,,,,,,,,,
Steeve Yago,1,19,21,20,4,8,4,0,10,0,2,3,1,2,1,0,0,0,2,2,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,
Jacques Francois Moubandje,1,29,20,19,3,18,6,0,7,2,2,1,1,0,4,0,0,0,2,0,0,1,0,0,0,0,1,4,0,,,,,,,,,,,,,
Fabio Henrique Tavares,1,65,36,67,8,31,18,11,43,4,0,3,3,2,2,2,3,1,3,2,0,1,0,2,0,0,3,4,1,,,,,,,,,,,,,
Ibrahim Sangare,1,31,24,39,5,14,4,3,13,6,2,1,1,2,1,2,1,1,2,2,0,2,0,0,0,0,4,4,2,,,,,,,,,,,,,
Yann Bodiger,0,4,5,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Wergiton do Rosario Calmon,1,22,16,15,9,8,4,4,9,1,0,1,4,0,1,3,3,0,1,0,0,1,0,0,0,0,2,2,2,,,,,,,,,,,,,
Allan Saint-Maximin,1,7,28,16,2,4,4,1,6,0,0,4,1,2,1,6,1,0,0,0,0,0,0,0,0,0,4,8,6,,,,,,,,,,,,,
Youri Tielemans,1,26,31,28,5,9,6,4,16,3,0,4,3,0,1,1,1,0,0,0,0,3,0,2,0,1,2,2,3,,,,,,,,,,,,,
Alexander Djiku,1,51,23,33,4,20,8,3,12,3,2,3,0,0,1,0,2,0,0,2,0,0,0,0,0,0,6,1,0,,,,,,,,,,,,,
Herve Bazile,1,4,10,14,5,3,2,1,6,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,5,,,,,,,,,,,,,
Julien Feret,1,62,40,82,9,24,4,7,32,6,2,7,3,0,4,5,5,1,0,0,1,1,0,0,0,0,10,5,3,,,,,,,,,,,,,
Vincent Bessat,1,26,35,20,5,19,6,0,10,0,6,3,2,4,0,5,1,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,
Romain Genevois,1,31,19,13,5,12,6,0,12,3,0,1,5,2,2,0,0,0,4,0,1,0,0,0,0,1,3,2,0,,,,,,,,,,,,,
Daniel Congre,1,41,37,40,4,24,4,1,20,4,0,1,3,0,3,0,2,0,0,0,1,1,0,0,0,0,2,0,0,,,,,,,,,,,,,
Paul Lasne,1,61,55,58,12,16,12,4,27,4,2,11,3,2,3,4,8,0,0,0,1,3,0,0,0,0,6,4,2,,,,,,,,,,,,,
Ellyes Skhiri,1,76,41,61,11,18,10,10,24,5,10,16,4,2,4,4,5,1,2,2,0,1,0,0,0,1,4,4,2,,,,,,,,,,,,,
Souleymane Camara,1,6,11,9,3,3,0,1,6,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,
Nordi Mukiele Mulere,1,57,52,28,4,25,16,6,8,4,4,2,1,2,4,5,2,2,2,0,0,1,1,0,2,0,1,2,2,,,,,,,,,,,,,
Isaac Mbenza,1,10,26,30,8,4,2,1,5,3,0,0,1,0,1,3,3,1,1,0,0,0,0,0,1,0,1,4,5,,,,,,,,,,,,,
Ronny Rodelin,1,27,65,49,8,14,10,2,18,4,2,8,6,4,1,2,4,1,1,0,0,2,1,0,1,0,4,9,8,,,,,,,,,,,,,
Jonathan Delaplace,1,8,12,9,1,0,0,2,5,1,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,
Pedro Filipe Teodosio Mendes,1,45,33,35,3,29,8,3,24,1,2,2,0,0,4,0,0,1,2,2,2,0,0,0,0,0,5,0,4,,,,,,,,,,,,,
Kevin Berigaud,0,3,3,3,1,0,0,0,2,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ivan Santini,1,18,34,25,11,7,2,2,11,2,0,6,5,0,1,3,1,0,0,0,0,1,0,0,0,0,2,4,10,,,,,,,,,,,,,
Nanitamo Jonathan Ikone,1,2,14,13,3,2,0,1,8,0,0,2,2,0,1,5,2,2,0,0,0,1,0,0,0,0,2,2,1,,,,,,,,,,,,,
Bel Durel Avounou,0,15,9,6,1,4,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,
Jerome Roussillon,1,18,28,28,6,8,18,7,13,2,0,1,2,0,0,1,2,0,2,2,0,0,0,0,0,1,1,6,2,,,,,,,,,,,,,
Frederic Guilbert,1,42,38,27,5,25,4,6,19,3,4,3,1,0,1,2,2,1,2,0,0,0,0,0,1,0,3,1,1,,,,,,,,,,,,,
Remy Vercoutre,1,11,24,16,4,5,0,2,10,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Benjamin Lecomte,0,25,27,18,0,6,0,5,15,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,,,,,,,,,,,,,
Rodrigue Casimir Ninga,1,8,13,9,0,5,0,1,8,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,2,4,2,,,,,,,,,,,,,
Stef Peeters,1,13,22,25,2,10,0,0,2,2,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,,,,,,,,,,,,,
Stephane Sessegnon,1,16,12,20,3,2,4,1,7,1,0,3,1,2,1,3,1,0,0,0,0,0,0,0,0,0,4,0,3,,,,,,,,,,,,,
Christian Kouakou Yao,0,7,3,7,2,1,0,1,4,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,,,
Adama Mbengue,1,25,35,21,1,8,4,1,6,1,0,2,1,0,2,1,2,2,1,0,0,1,0,0,0,0,1,3,0,,,,,,,,,,,,,
Daniel Alves da Silva,1,40,38,30,12,15,24,3,18,4,8,2,2,4,1,3,1,0,1,0,0,3,0,2,0,0,4,7,0,,,,,,,,,,,,,
Thiago Motta,1,24,27,24,8,12,6,3,13,6,8,4,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,2,0,,,,,,,,,,,,,
Marcos  Aoas Correa ,1,37,27,31,4,20,2,5,18,1,2,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,4,1,1,,,,,,,,,,,,,
Layvin Kurzawa,1,23,25,10,3,11,8,3,8,3,0,3,3,0,2,0,0,0,0,0,1,2,0,0,1,0,0,2,0,,,,,,,,,,,,,
Thiago Emiliano da Silva,1,46,17,36,0,16,10,4,16,3,2,0,2,0,3,0,2,0,0,0,0,1,0,0,0,0,6,1,0,,,,,,,,,,,,,
Alphonse Areola,0,15,11,10,5,6,2,4,5,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Angel Fabian di Maria Hernandez,1,16,38,30,7,5,4,1,6,1,2,4,1,0,2,5,0,3,0,0,0,0,0,0,0,0,1,7,14,,,,,,,,,,,,,
Adrien Rabiot,1,42,27,42,14,22,8,11,22,6,6,7,9,2,5,2,2,1,1,0,1,3,1,0,0,0,6,3,3,,,,,,,,,,,,,
Edinson Roberto Cavani Gomez,1,6,16,13,7,6,0,2,4,1,2,4,1,2,0,2,1,0,1,0,0,0,0,0,0,0,3,5,11,,,,,,,,,,,,,
Marco Verratti,1,32,41,48,6,10,12,7,28,1,4,5,5,2,3,4,2,0,1,0,1,2,0,0,0,1,6,3,1,,,,,,,,,,,,,
Mathieu Bodmer,1,8,6,15,2,4,2,2,5,2,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Guessouma Fofana,1,7,12,10,0,2,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,,,,,,,,,,,,,
Tanguy Ndombele Alvaro,1,36,44,43,3,21,14,5,23,3,0,1,1,0,3,6,1,1,1,0,1,4,1,0,0,1,2,7,1,,,,,,,,,,,,,
Seybou Koita,0,2,4,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Issa Cissokho,1,23,26,29,2,16,10,2,12,3,4,3,0,0,1,2,1,0,2,0,0,1,0,0,0,0,2,3,0,,,,,,,,,,,,,
Thomas Monconduit,1,60,44,55,17,19,16,5,25,3,2,4,4,2,1,1,1,0,2,2,0,2,1,0,2,0,2,3,2,,,,,,,,,,,,,
Javier Matias Pastore,1,11,28,19,15,12,10,2,7,1,2,3,0,2,0,3,3,1,0,2,0,0,1,0,0,0,4,5,3,,,,,,,,,,,,,
Prince-Desir Gouano,1,50,20,32,7,31,16,2,10,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,,,,,,,,,,,,
Regis Gurtner,0,11,13,17,11,8,2,2,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Oualid El Hajjam,1,35,31,21,5,13,0,2,8,3,6,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2,1,,,,,,,,,,,,,
Harisson Manzala,1,16,33,27,6,7,2,3,6,4,2,4,2,2,0,0,1,3,0,0,0,1,0,0,0,1,0,2,3,,,,,,,,,,,,,
Abdul Khaled Akiola Adenon,1,67,21,37,3,27,10,4,18,5,0,1,2,0,3,0,0,0,4,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Presnel Kimpembe,1,43,32,41,2,22,8,8,25,1,0,1,2,0,2,0,1,0,4,0,0,0,0,0,0,0,3,1,1,,,,,,,,,,,,,
Charly Charrier,0,0,1,3,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
Blaise Matuidi,1,23,34,38,4,19,4,2,16,2,0,2,2,0,1,1,3,1,4,0,1,3,0,0,0,0,2,0,3,,,,,,,,,,,,,
Emmanuel Bourgaud,1,10,11,8,3,2,2,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,
Brighton Labeau,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Alassane Plea,1,10,42,22,3,8,4,1,8,0,0,3,2,0,0,3,1,1,2,0,0,1,0,0,0,0,3,4,7,,,,,,,,,,,,,
Remi Walter,0,30,17,18,5,14,4,2,8,0,4,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,2,,,,,,,,,,,,,
Dante Bonfim da Costa Santos,1,60,28,45,7,29,12,2,25,2,4,3,7,0,1,1,2,0,3,0,0,1,0,0,0,0,2,1,0,,,,,,,,,,,,,
Yoan Cardinale,0,7,0,7,2,6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Maxime Le Marchand,1,41,30,37,5,32,10,5,9,6,2,4,1,2,2,0,0,0,1,0,0,3,1,0,0,0,1,1,1,,,,,,,,,,,,,
Assane Diousse El Hadji,1,24,21,25,4,19,2,5,17,6,0,3,3,0,1,0,1,1,1,0,1,2,0,0,0,0,0,0,2,,,,,,,,,,,,,
Stephane Ruffier,1,19,21,23,1,9,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Loic Perrin,1,60,32,35,7,32,18,3,26,3,0,2,4,0,3,0,0,1,4,0,0,3,0,0,0,0,1,2,1,,,,,,,,,,,,,
Kevin Theophile Catherine,1,44,25,29,3,16,8,4,16,1,0,1,1,2,4,0,0,0,1,0,0,0,0,0,0,0,4,0,2,,,,,,,,,,,,,
Ole Kristian Selns,1,43,22,49,7,20,4,5,16,3,0,3,8,0,0,1,4,0,2,0,0,1,0,0,0,1,6,4,0,,,,,,,,,,,,,
Romain Hamouma,1,11,20,22,6,11,4,1,7,5,2,4,0,0,1,5,3,1,0,0,0,1,0,0,1,0,4,2,2,,,,,,,,,,,,,
Malang Sarr,1,18,22,11,4,12,2,5,13,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,,,,,,,,,,,,,
Arnaud Souquet,1,42,30,20,2,27,10,4,16,4,0,4,2,0,3,1,2,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,
Valentin Eysseric,1,7,20,11,4,3,2,0,6,0,4,4,2,0,1,1,3,0,0,0,0,1,0,0,0,0,2,0,3,,,,,,,,,,,,,
Vincent Koziello,1,28,17,27,2,13,14,5,17,2,0,2,0,0,1,0,1,0,2,0,1,1,0,0,1,0,1,2,0,,,,,,,,,,,,,
Oussama Tannane,1,6,10,9,1,2,0,0,4,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,6,,,,,,,,,,,,,
Bryan Dabo,1,28,32,29,4,14,4,2,18,9,0,5,2,4,2,2,4,1,0,0,0,2,1,0,0,0,5,3,3,,,,,,,,,,,,,
Saidy Janko,1,25,26,17,6,11,2,1,12,2,2,1,4,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,1,,,,,,,,,,,,,
Jonathan Bamba,1,29,40,36,11,14,0,2,12,4,2,5,4,2,3,6,3,2,0,0,0,0,0,0,0,0,1,10,5,,,,,,,,,,,,,
Ronael Pierre-Gabriel,1,14,15,9,7,12,8,8,7,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,
Pierre Lees Melou,1,31,32,41,9,13,8,1,15,4,2,4,2,2,1,4,1,0,1,0,0,1,0,0,0,0,1,3,4,,,,,,,,,,,,,
Bassem  Srarfi,0,6,9,1,2,2,0,0,2,0,0,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,4,,,,,,,,,,,,,
Vincent Marcel,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jean-Victor Makengo,0,3,5,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Rayan Souici,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Adrien  Tameze,1,21,14,24,3,10,12,1,17,3,8,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,0,,,,,,,,,,,,,
Christopher Herelle,1,56,22,35,0,19,6,5,23,4,2,0,3,0,3,0,2,0,3,0,0,2,0,0,0,1,1,2,0,,,,,,,,,,,,,
Johann Obiang,1,6,10,8,2,1,0,0,2,0,0,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,
Stephane Darbion,1,17,25,30,8,6,2,2,4,5,6,3,2,2,0,2,3,0,1,2,0,0,0,0,0,0,0,4,3,,,,,,,,,,,,,
Adama Niane,1,26,22,18,4,9,0,0,8,1,0,4,0,0,1,1,0,0,1,1,0,0,0,0,1,0,2,1,7,,,,,,,,,,,,,
Oswaldo Augusto Vizcarrondo Araujo,1,19,16,14,2,21,6,2,17,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Joris Gnagnon,1,47,11,29,3,16,16,7,38,1,4,4,2,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,2,,,,,,,,,,,,,
Ludovic Baal,1,17,18,11,1,9,4,1,1,1,6,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ramy Bensebaini,1,35,38,23,5,21,6,2,8,0,4,3,0,0,4,0,1,0,2,2,0,1,0,0,0,0,2,3,0,,,,,,,,,,,,,
Adrien Hunou,1,17,18,12,6,6,0,1,3,0,2,4,0,2,1,1,1,0,1,0,0,1,0,0,0,0,1,5,2,,,,,,,,,,,,,
Ismaila Sarr,1,4,15,18,3,3,0,1,5,1,0,3,1,2,3,2,0,0,0,0,0,1,0,0,0,0,1,4,7,,,,,,,,,,,,,
Hamari Traore,1,41,33,33,14,20,4,3,18,1,6,3,3,6,0,2,3,0,3,1,0,3,0,0,0,0,4,4,2,,,,,,,,,,,,,
Benjamin Nivet,1,15,30,30,5,7,0,1,13,0,0,1,1,2,3,4,1,1,0,0,0,2,0,0,0,0,1,2,1,,,,,,,,,,,,,
Tristan Dingome,1,20,20,18,3,4,4,2,11,1,0,1,0,0,2,3,4,0,0,0,0,1,1,0,0,0,1,2,0,,,,,,,,,,,,,
Benjamin Andre,1,53,40,62,20,27,14,3,26,5,0,4,4,0,2,2,5,1,6,0,0,0,0,0,0,1,1,4,1,,,,,,,,,,,,,
Mamadou Samassa,0,8,7,3,2,6,0,2,7,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Karim Azamoum,1,35,34,28,8,16,4,3,15,2,0,2,2,0,0,2,6,0,1,0,0,1,0,0,0,0,3,2,2,,,,,,,,,,,,,
Firmin Ndombe Mubele,1,15,13,18,4,4,2,2,3,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,3,6,,,,,,,,,,,,,
Benjamin Bourigeaud,1,18,45,48,12,16,8,4,15,3,6,6,4,0,5,2,4,1,2,0,0,3,0,0,0,1,5,1,3,,,,,,,,,,,,,
Samuel Grandsir,1,17,33,29,9,7,4,1,9,3,2,4,1,0,2,5,6,2,1,0,0,1,0,0,0,0,1,6,3,,,,,,,,,,,,,
Abdoulaye Diallo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mathieu Deplagne,1,30,32,26,5,16,8,8,15,1,2,4,2,2,2,2,0,0,3,2,0,1,0,0,1,0,7,3,0,,,,,,,,,,,,,
James Edward Lea Siliki,1,17,21,10,11,6,0,0,4,1,0,3,1,0,1,2,1,0,2,0,0,1,0,0,0,0,2,4,5,,,,,,,,,,,,,
Jordan Tell,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Saif-Eddine Khaoui,1,15,19,29,8,7,0,2,11,1,0,2,2,0,3,1,1,1,0,1,0,0,0,0,0,1,3,1,5,,,,,,,,,,,,,
Gael Kakuta,1,20,84,54,17,13,4,5,18,3,4,8,5,4,1,2,1,1,0,0,0,1,2,0,2,0,6,5,7,,,,,,,,,,,,,
Enzo Crivelli,1,12,15,11,3,6,2,1,6,1,0,3,0,0,1,3,2,0,0,0,0,1,0,0,1,0,1,5,0,,,,,,,,,,,,,
Yoann Andreu,1,34,25,27,8,7,8,1,12,4,0,3,0,0,1,1,0,2,1,0,0,1,0,0,0,0,2,2,0,,,,,,,,,,,,,
Alexandre Letellier,0,2,8,5,0,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Bakaye Dibassy,1,48,43,37,5,16,10,3,13,4,4,2,5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,,,,,,,,,,,,,
Mamadou Jean-Luc Diarra Dompe ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Guy Adolphe N'Gosso Massouma,0,23,8,9,4,2,4,1,3,0,0,1,1,2,0,0,1,1,2,0,0,0,0,0,0,0,1,2,1,,,,,,,,,,,,,
Chris Philipps,0,16,15,4,0,12,4,5,10,1,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,
Jonathan Rivierez,1,23,17,25,1,22,10,1,11,1,2,7,4,0,1,0,1,0,2,0,0,0,0,0,0,0,2,3,0,,,,,,,,,,,,,
Opa Nguette,1,3,11,5,1,5,2,1,5,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,2,2,,,,,,,,,,,,,
Moussa Niakhate,1,52,29,24,4,36,4,6,26,1,2,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,4,0,0,,,,,,,,,,,,,
Jonathan Renato Barbosa,0,6,7,10,2,5,0,0,6,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
Damien Da Silva,1,58,30,41,9,22,6,3,17,2,0,1,3,0,5,0,2,0,0,0,0,1,0,0,0,0,2,0,0,,,,,,,,,,,,,
Digbo G'nampa Habib Maiga,1,13,16,16,0,3,2,3,9,0,2,1,2,2,2,1,2,1,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,
Lois Diony,0,5,15,5,1,1,0,0,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,6,,,,,,,,,,,,,
Gabriel Moises Antunes da Silva,1,23,28,20,1,16,14,3,15,1,4,5,0,0,1,1,1,0,2,0,0,0,0,0,0,1,1,0,1,,,,,,,,,,,,,
Arnold Bouka Moutou,1,4,3,5,1,1,2,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,,,,,,,,,,,,,
Adam Lang,1,3,2,3,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Adama Diakhaby,0,2,12,6,2,4,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,
