"","passportArea.name","passportArea.id","passportArea.alpha3code","passportArea.alpha2code","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","role.code2","role.code3","role.name","birthArea.name","birthArea.id","birthArea.alpha3code","birthArea.alpha2code","wyId","foot","shortName","currentNationalTeamId"
"278","Spain","724","ESP","ES","79","Francisco Rom\u00e1n","","Alarc\u00f3n Su\u00e1rez","675","1992-04-21","176","MD","MID","Midfielder","Spain","724","ESP","ES","3563","right","Isco","1598"
"279","Spain","724","ESP","ES","77","Ignacio","","Camacho Barnola","2451","1990-03-07","183","MD","MID","Midfielder","Spain","724","ESP","ES","3566","right","Camacho",NA
"280","Spain","724","ESP","ES","79","Jos\u00e9 Luis","","Garc\u00eda del Pozo","683","1991-01-11","182","MD","MID","Midfielder","Spain","724","ESP","ES","3568","right","Recio",NA
"281","Cape Verde Islands","132","CPV","CV","82","Eliseu","","Pereira dos Santos",NA,"1983-10-01","176","DF","DEF","Defender","Portugal","620","PRT","PT","3570","left","Eliseu",NA
"282","Spain","724","ESP","ES","75","Joaqu\u00edn","","S\u00e1nchez Rodr\u00edguez","684","1981-07-21","179","MD","MID","Midfielder","Spain","724","ESP","ES","3571","right","Joaqu\u00edn",NA
"283","Spain","724","ESP","ES","60","Francisco","","Portillo Soler","698","1990-06-13","169","MD","MID","Midfielder","Spain","724","ESP","ES","3572","right","Portillo",NA
"284","France","250","FRA","FR","86","J\u00e9r\u00e9my","","Toulalan",NA,"1983-09-10","183","MD","MID","Midfielder","France","250","FRA","FR","3573","right","J. Toulalan",NA
"285","Spain","724","ESP","ES","69","Juan Miguel","","Jim\u00e9nez L\u00f3pez","687","1993-05-20","172","FW","FWD","Forward","Spain","724","ESP","ES","3576","right","Juanmi",NA
"286","Spain","724","ESP","ES","76","Be\u00f1at","","Etxebarria Urkiaga","678","1987-02-19","177","MD","MID","Midfielder","Spain","724","ESP","ES","3595","right","Be\u00f1at",NA
"287","Spain","724","ESP","ES","72","Rub\u00e9n","","Castro Mart\u00edn","684","1981-06-27","174","FW","FWD","Forward","Spain","724","ESP","ES","3604","right","Rub\u00e9n Castro",NA
"288","Spain","724","ESP","ES","72","Jorge","","Molina Vidal","698","1982-04-22","188","FW","FWD","Forward","Spain","724","ESP","ES","3605","right","Jorge Molina",NA
"289","Kenya","404","KEN","KE","75","Divock","","Okoth Origi","2451","1995-04-18","185","FW","FWD","Forward","Belgium","56","BEL","BE","134708","right","D. Origi",NA
"290","Spain","724","ESP","ES","82","Iv\u00e1n","","Ramis Barrios","701","1984-10-25","188","DF","DEF","Defender","Spain","724","ESP","ES","3642","right","Ramis",NA
"291","Spain","724","ESP","ES","82","Pedro","","Bigas Rigo","714","1990-09-15","181","DF","DEF","Defender","Spain","724","ESP","ES","3644","left","Bigas",NA
"292","Spain","724","ESP","ES","77","Gonzalo","","Castro Iriz\u00e1bal","683","1984-09-14","178","MD","MID","Midfielder","Uruguay","858","URY","UY","3645","left","Chory Castro",NA
"293","Spain","724","ESP","ES","75","Tom\u00e1s","","Pina Isla","696","1987-10-14","185","MD","MID","Midfielder","Spain","724","ESP","ES","3650","right","Tom\u00e1s Pina",NA
"294","Spain","724","ESP","ES","86","Antonio Miguel","","Ram\u00edrez Mart\u00ednez","687","1986-11-23","191","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3663","right","To\u00f1o",NA
"295","Spain","724","ESP","ES","72","Alberto","","De La Bella Madure\u00f1o","687","1985-12-02","179","DF","DEF","Defender","Spain","724","ESP","ES","3667","left","De La Bella",NA
"296","Spain","724","ESP","ES","79","\u00cd\u00f1igo","","Mart\u00ednez Berridi","678","1991-05-17","182","DF","DEF","Defender","Spain","724","ESP","ES","3671","left","\u00cd\u00f1igo Mart\u00ednez",NA
"297","Spain","724","ESP","ES","79","Carlos","","Mart\u00ednez D\u00edez","687","1986-04-09","189","DF","DEF","Defender","Spain","724","ESP","ES","3672","right","Carlos Mart\u00ednez",NA
"298","Spain","724","ESP","ES","75","Asier","","Illarramendi Andonegi","687","1990-03-08","179","MD","MID","Midfielder","Spain","724","ESP","ES","3676","right","Illarramendi",NA
"299","Spain","724","ESP","ES","69","Rub\u00e9n","","Pardo Guti\u00e9rrez","687","1992-10-22","181","MD","MID","Midfielder","Spain","724","ESP","ES","3677","right","Rub\u00e9n Pardo",NA
"300","Spain","724","ESP","ES","76","Xabier","","Prieto Argarate",NA,"1983-08-29","187","MD","MID","Midfielder","Spain","724","ESP","ES","3678","right","Xabi Prieto",NA
"301","Spain","724","ESP","ES","79","David","","Zurutuza Veillet","687","1986-07-19","186","MD","MID","Midfielder","France","250","FRA","FR","3680","right","Zurutuza",NA
"302","Spain","724","ESP","ES","78","Imanol","","Agirretxe Arruti","687","1987-02-24","187","FW","FWD","Forward","Spain","724","ESP","ES","3681","right","Agirretxe",NA
"303","France","250","FRA","FR","71","Antoine","","Griezmann","679","1991-03-21","175","FW","FWD","Forward","France","250","FRA","FR","3682","left","A. Griezmann","4418"
"304","Spain","724","ESP","ES","77","Carlos Alberto","","Vela Garrido","62148","1989-03-01","177","FW","FWD","Forward","Mexico","484","MEX","MX","3685","left","C. Vela","15473"
"305","Spain","724","ESP","ES","84","Bernardo Jos\u00e9","","Espinosa Z\u00fa\u00f1iga","756","1989-07-11","192","DF","DEF","Defender","Colombia","170","COL","CO","3692","right","Bernardo Espinosa",NA
"306","Spain","724","ESP","ES","75","\u00c1lvaro","","Gonz\u00e1lez Sober\u00f3n","682","1990-01-08","183","DF","DEF","Defender","Spain","724","ESP","ES","3695","right","\u00c1lvaro Gonz\u00e1lez",NA
"307","Spain","724","ESP","ES","71","Yannick","","Ferreira Carrasco","9192","1993-09-04","180","FW","FWD","Forward","Belgium","56","BEL","BE","134769","right","Y. Carrasco","5629"
"308","France","250","FRA","FR","77","Papakouli","","Diop","701","1986-03-19","179","MD","MID","Midfielder","Senegal","686","SEN","SN","3704","right","P. Diop",NA
"309","Spain","724","ESP","ES","77","Adri\u00e1n ","","Gonz\u00e1lez Morales","683","1988-05-25","183","MD","MID","Midfielder","Spain","724","ESP","ES","3705","left","Adri\u00e1n",NA
"310","Spain","724","ESP","ES","66","Jairo","","Samperio Bustara","714","1993-07-11","173","MD","MID","Midfielder","Spain","724","ESP","ES","3708","right","Jairo Samperio",NA
"311","Senegal","686","SEN","SN","76","Khouma","","El Hadji Babacar","3315","1993-03-17","185","FW","FWD","Forward","Senegal","686","SEN","SN","3710","right","K. Babacar",NA
"312","Italy","380","ITA","IT","72","Cristhian Ricardo","","Stuani Curbelo","756","1986-10-12","184","FW","FWD","Forward","Uruguay","858","URY","UY","3714","right","C. Stuani","15670"
"313","Spain","724","ESP","ES","93","Roberto","","Jim\u00e9nez Gago","683","1986-02-10","192","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3719","right","Roberto",NA
"314","Serbia","688","SRB","RS","75","Nemanja","","Maksimovi\u0107","674","1995-01-26","184","MD","MID","Midfielder","Serbia","688","SRB","RS","265864","right","N. Maksimovi\u0107",NA
"315","Serbia","688","SRB","RS","80","Sergej","","Milinkovi\u0107-Savi\u0107","3162","1995-02-27","192","MD","MID","Midfielder","Spain","724","ESP","ES","265865","right","S. Milinkovi\u0107-Savi\u0107","17322"
"316","Portugal","620","PRT","PT","77","Hernani","","Azevedo J\u00fanior","3782","1994-03-27","188","MD","MID","Midfielder","Brazil","76","BRA","BR","134797","right","Hernani",NA
"317","Spain","724","ESP","ES","70","Juan Carlos","","P\u00e9rez L\u00f3pez","683","1990-03-30","179","DF","DEF","Defender","Spain","724","ESP","ES","3735","left","Juankar",NA
"318","Italy","380","ITA","IT","68","Franco","","Zuculini","3194","1990-09-05","176","MD","MID","Midfielder","Argentina","32","ARG","AR","3736","right","F. Zuculini",NA
"319","Spain","724","ESP","ES","75","Mikel","","Balenziaga Oruesagasti","678","1988-02-29","177","DF","DEF","Defender","Spain","724","ESP","ES","3750","left","Balenziaga",NA
"320","Spain","724","ESP","ES","67","Alberto ","","Bueno Calvo","683","1988-03-20","179","FW","FWD","Forward","Spain","724","ESP","ES","3779","right","Bueno",NA
"321","Spain","724","ESP","ES","84","Francisco","","Casilla Cort\u00e9s","675","1986-10-02","191","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3785","right","Kiko Casilla",NA
"322","Spain","724","ESP","ES","83","Jordi","","Amat Maas","684","1992-03-21","185","DF","DEF","Defender","Spain","724","ESP","ES","3788","right","Jordi Amat",NA
"323","Spain","724","ESP","ES","78","Zouhair","","Feddal","684","1989-12-23","190","DF","DEF","Defender","Morocco","504","MAR","MA","3791","left","Z. Feddal",NA
"324","Mexico","484","MEX","MX","80","H\u00e9ctor Alfredo","","Moreno Herrera","687","1988-01-17","183","DF","DEF","Defender","Mexico","484","MEX","MX","3795","left","H. Moreno","15473"
"325","Spain","724","ESP","ES","75","D\u00eddac","","Vil\u00e1 Rossell\u00f3","691","1989-06-09","185","DF","DEF","Defender","Spain","724","ESP","ES","3798","left","D\u00eddac Vil\u00e1",NA
"326","Slovakia","703","SVK","SK","64","Stanislav","","Lobotka","692","1994-11-22","170","MD","MID","Midfielder","Slovakia","703","SVK","SK","167641","right","S. Lobotka","14496"
"327","Brazil","76","BRA","BR","68","Philippe","","Coutinho Correia","676","1992-06-12","171","FW","FWD","Forward","Brazil","76","BRA","BR","3802","right","Philippe Coutinho","6380"
"328","Spain","724","ESP","ES","71","Sergi","","Darder Moll","691","1993-12-22","180","MD","MID","Midfielder","Spain","724","ESP","ES","3803","right","Sergi Darder",NA
"329","Spain","724","ESP","ES","76","Javier ","","L\u00f3pez Rodr\u00edguez","691","1986-01-21","180","DF","DEF","Defender","Spain","724","ESP","ES","3806","right","Javi L\u00f3pez",NA
"330","Spain","724","ESP","ES","72","Sergio","","Garc\u00eda De La Fuente","691","1983-06-09","174","FW","FWD","Forward","Spain","724","ESP","ES","3816","right","Sergio Garc\u00eda",NA
"331","Mali","466","MLI","ML","82","Boubakary","","Soumar\u00e9","3776","1999-02-27","188","MD","MID","Midfielder","France","250","FRA","FR","397033","right","B. Soumar\u00e9","4423"
"332","Spain","724","ESP","ES","75","Sergio","","\u00c1lvarez Conde","692","1986-08-03","179","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3821","right","Sergio \u00c1lvarez",NA
"333","Spain","724","ESP","ES","70","Rub\u00e9n","","Blanco Veiga","692","1995-07-25","188","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3822","right","Rub\u00e9n Blanco",NA
"334","Spain","724","ESP","ES","78","Yoel","","Rodr\u00edguez Oterino","701","1988-08-28","186","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3823","right","Yoel",NA
"335","Spain","724","ESP","ES","69","Hugo","","Mallo Novegil","692","1991-06-22","173","DF","DEF","Defender","Spain","724","ESP","ES","3827","right","Hugo Mallo",NA
"336","Algeria","12","DZA","DZ","70","Houssem","","Aouar","3766","1998-06-30","175","MD","MID","Midfielder","France","250","FRA","FR","397046","right","H. Aouar","4425"
"337","Spain","724","ESP","ES","67","Iago","","Aspas Juncal","692","1987-08-01","176","FW","FWD","Forward","Spain","724","ESP","ES","3840","left","Iago Aspas","1598"
"338","Chile","152","CHL","CL","64","Fabi\u00e1n Ariel","","Orellana Valenzuela","701","1986-01-27","168","MD","MID","Midfielder","Chile","152","CHL","CL","3843","right","F. Orellana",NA
"339","Russia","643","RUS","RU","75","Yury","","Gazinskiy","14072","1989-07-20","184","MD","MID","Midfielder","Russia","643","RUS","RU","102157","right","Y. Gazinskiy","14358"
"340","Spain","724","ESP","ES","64","Francisco Jos\u00e9","","Molinero Calder\u00f3n","698","1985-07-26","175","DF","DEF","Defender","Spain","724","ESP","ES","3856","right","Molinero",NA
"341","Croatia","191","HRV","HR","73","Domagoj","","Vida","4489","1989-04-29","184","DF","DEF","Defender","Croatia","191","HRV","HR","69396","right","D. Vida","9598"
"342","Croatia","191","HRV","HR","76","Milan","","Badelj","3162","1989-02-25","186","MD","MID","Midfielder","Croatia","191","HRV","HR","69400","right","M. Badelj","9598"
"343","Italy","380","ITA","IT","73","Manuel Rolando","","Iturra Urrutia","683","1984-06-23","174","MD","MID","Midfielder","Chile","152","CHL","CL","3866","right","M. Iturra",NA
"344","Croatia","191","HRV","HR","77","Mateo","","Kova\u010di\u0107","1610","1994-05-06","178","MD","MID","Midfielder","Austria","40","AUT","AT","69404","right","M. Kova\u010di\u0107","9598"
"345","Croatia","191","HRV","HR","76","\u0160ime","","Vrsaljko","3161","1992-01-10","181","DF","DEF","Defender","Croatia","191","HRV","HR","69409","right","\u0160. Vrsaljko","9598"
"346","Spain","724","ESP","ES","79","Enrique","","Garc\u00eda Mart\u00ednez","701","1989-11-25","186","FW","FWD","Forward","Spain","724","ESP","ES","3874","right","Kike Garc\u00eda",NA
"347","Croatia","191","HRV","HR","73","Andrej","","Kramari\u0107","2482","1991-06-19","177","FW","FWD","Forward","Croatia","191","HRV","HR","69411","right","A. Kramari\u0107","9598"
"348","Sweden","752","SWE","SE","85","Pontus","","Wernbloom",NA,"1986-06-25","187","MD","MID","Midfielder","Sweden","752","SWE","SE","101604","right","P. Wernbloom",NA
"349","Brazil","76","BRA","BR","92","L\u00e9o","","Lacroix","6407","1992-02-27","197","DF","DEF","Defender","Switzerland","756","CHE","CH","134951","right","L. Lacroix",NA
"350","Spain","724","ESP","ES","80","Leandro Daniel","","Cabrera Sas\u00eda","698","1991-06-17","187","DF","DEF","Defender","Uruguay","858","URY","UY","3885","left","L. Cabrera",NA
"351","Spain","724","ESP","ES","78","Keylor","","Navas Gamboa","675","1986-12-15","185","GK","GKP","Goalkeeper","Costa Rica","188","CRI","CR","3915","right","K. Navas","16871"
"352","Spain","724","ESP","ES","81","Gustavo Daniel","","Cabral C\u00e1ceres","692","1985-10-14","182","DF","DEF","Defender","Argentina","32","ARG","AR","3916","right","G. Cabral",NA
"353","Spain","724","ESP","ES","69","Iv\u00e1n","","L\u00f3pez Mendoza","695","1993-08-23","175","DF","DEF","Defender","Spain","724","ESP","ES","3919","right","Iv\u00e1n L\u00f3pez",NA
"354","Spain","724","ESP","ES","72","Pedro","","L\u00f3pez Mu\u00f1oz","695","1983-11-01","174","DF","DEF","Defender","Spain","724","ESP","ES","3920","right","Pedro L\u00f3pez",NA
"355","Morocco","504","MAR","MA","66","Nabil","","El Zhar","712","1986-08-27","171","MD","MID","Midfielder","France","250","FRA","FR","3934","right","N. El Zhar",NA
"356","Spain","724","ESP","ES","74","Roger","","Mart\u00ed Salvador","695","1991-01-03","179","FW","FWD","Forward","Spain","724","ESP","ES","3937","right","Roger",NA
"357","England","0","XEN","","72","Marcus","","Rashford","1611","1997-10-31","187","FW","FWD","Forward","England","0","XEN","","397178","right","M. Rashford","2413"
"358","Spain","724","ESP","ES","76","Iv\u00e1n","","Cu\u00e9llar Sacrist\u00e1n","712","1984-05-25","187","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3963","left","Cu\u00e9llar",NA
"359","Spain","724","ESP","ES","79","Alejandro","","G\u00e1lvez Jimena","714","1989-06-06","188","DF","DEF","Defender","Spain","724","ESP","ES","3970","right","G\u00e1lvez",NA
"360","Uruguay","858","URY","UY","61","Dami\u00e1n Nicol\u00e1s","","Su\u00e1rez Su\u00e1rez","698","1988-04-27","172","DF","DEF","Defender","Uruguay","858","URY","UY","3974","right","D. Su\u00e1rez",NA
"361","Croatia","191","HRV","HR","75","Ante","","Budimir","3197","1991-07-21","190","FW","FWD","Forward","Bosnia-Herzegovina","70","BIH","BA","69513","left","A. Budimir",NA
"362","Croatia","191","HRV","HR","81","Mateo","","Pavlovi\u0107","3799","1990-06-09","194","DF","DEF","Defender","Bosnia-Herzegovina","70","BIH","BA","69525","right","M. Pavlovi\u0107",NA
"363","Spain","724","ESP","ES","83","Miguel \u00c1ngel","","Moy\u00e0 Rumbo","687","1984-04-02","188","GK","GKP","Goalkeeper","Spain","724","ESP","ES","3994","right","Moy\u00e0",NA
"364","Spain","724","ESP","ES","81","Miguel","","Torres G\u00f3mez","683","1986-01-28","185","DF","DEF","Defender","Spain","724","ESP","ES","4003","right","Miguel Torres",NA
"365","Algeria","12","DZA","DZ","70","Mehdi","","Lacen","683","1984-03-15","176","MD","MID","Midfielder","France","250","FRA","FR","4009","left","M. Lacen",NA
"366","Spain","724","ESP","ES","73","Rub\u00e9n Salvador","","P\u00e9rez Del M\u00e1rmol","712","1989-04-26","178","MD","MID","Midfielder","Spain","724","ESP","ES","4013","right","Rub\u00e9n P\u00e9rez",NA
"367","Spain","724","ESP","ES","73","Pedro Le\u00f3n","","S\u00e1nchez Gil","701","1986-11-24","183","MD","MID","Midfielder","Spain","724","ESP","ES","4014","right","Pedro Le\u00f3n",NA
"368","Spain","724","ESP","ES","70","Pablo","","Sarabia Garc\u00eda","680","1992-05-11","178","MD","MID","Midfielder","Spain","724","ESP","ES","4015","left","Pablo Sarabia",NA
"369","Italy","380","ITA","IT","72","Luca","","Pellegrini","3158","1999-03-07","178","DF","DEF","Defender","Italy","380","ITA","IT","397239","left","Luca Pellegrini",NA
"370","Denmark","208","DNK","DK","78","Andreas","","Christensen","1610","1996-04-10","188","DF","DEF","Defender","Denmark","208","DNK","DK","135103","right","A. Christensen","7712"
"371","Spain","724","ESP","ES","77","Sergio","","Enrich Ametller","701","1990-02-26","181","FW","FWD","Forward","Spain","724","ESP","ES","4048","right","Sergi Enrich",NA
"372","Colombia","170","COL","CO","78","Jeison Fabi\u00e1n","","Murillo Cer\u00f3n","674","1992-05-27","182","DF","DEF","Defender","Colombia","170","COL","CO","4065","right","J. Murillo",NA
"373","Denmark","208","DNK","DK","79","Andreas Evald","","Cornelius","3172","1993-03-16","193","FW","FWD","Forward","Denmark","208","DNK","DK","135150","left","A. Cornelius","7712"
"374","Croatia","191","HRV","HR","78","Ante","","Rebi\u0107","2462","1993-09-21","185","FW","FWD","Forward","Croatia","191","HRV","HR","69616","right","A. Rebi\u0107","9598"
"375","Spain","724","ESP","ES","76","Eneko","","B\u00f3veda Altube","677","1988-12-14","182","DF","DEF","Defender","Spain","724","ESP","ES","4086","right","B\u00f3veda",NA
"376","Spain","724","ESP","ES","77","Ferr\u00e1n","","Torres Garc\u00eda","674","2000-02-29","183","MD","MID","Midfielder","Spain","724","ESP","ES","397303","right","Ferr\u00e1n Torres","1602"
"377","Spain","724","ESP","ES","70","Ander","","Capa Rodr\u00edguez","701","1992-02-08","173","DF","DEF","Defender","Spain","724","ESP","ES","4094","right","Ander Capa",NA
"378","Spain","724","ESP","ES","78","Xabier","","Etxeita Gorritxategi","678","1987-10-31","186","DF","DEF","Defender","Spain","724","ESP","ES","4113","right","Etxeita",NA
"379","Spain","724","ESP","ES","68","\u00c1ngel Luis","","Rodr\u00edguez D\u00edaz","698","1987-04-26","172","FW","FWD","Forward","Spain","724","ESP","ES","4131","right","\u00c1ngel",NA
"380","Iceland","352","ISL","IS","77","H\u00f6r\u00f0ur","","Bj\u00f6rgvin Magn\u00fasson","13886","1993-02-11","190","DF","DEF","Defender","Iceland","352","ISL","IS","135207","left","H. Magn\u00fasson","7839"
"381","Brazil","76","BRA","BR","80","Marlon","","Santos da Silva Barbosa","3775","1995-09-07","182","DF","DEF","Defender","Brazil","76","BRA","BR","266286","right","Marlon",NA
"382","Spain","724","ESP","ES","78","David","","Rodr\u00edguez Lomb\u00e1n",NA,"1987-06-05","186","DF","DEF","Defender","Spain","724","ESP","ES","4180","right","Lomb\u00e1n",NA
"383","Italy","380","ITA","IT","75","Simone","","Pontisso","3163","1997-03-20","186","MD","MID","Midfielder","Italy","380","ITA","IT","364641","right","S. Pontisso",NA
"384","Senegal","686","SEN","SN","68","Assane","","Diouss\u00e9 El Hadji","3782","1997-09-20","175","MD","MID","Midfielder","Senegal","686","SEN","SN","364644","left","A. Diouss\u00e9",NA
"385","Spain","724","ESP","ES","93","Pedro","","Alcal\u00e1 Guirado","756","1989-03-19","196","DF","DEF","Defender","Spain","724","ESP","ES","4232","right","Pedro Alcal\u00e1",NA
"386","Congo DR","180","COD","CD","71","Samuel","","Moutoussamy","3770","1996-08-12","176","MD","MID","Midfielder","France","250","FRA","FR","299154","left","S. Moutoussamy",NA
"387","Chad","148","TCD","TD","77","Kevin","","N'Doram","19830","1996-01-22","185","MD","MID","Midfielder","France","250","FRA","FR","331923","right","K. N'Doram",NA
"388","Spain","724","ESP","ES","70","Aleix","","Vidal Parreu","676","1989-08-21","177","MD","MID","Midfielder","Spain","724","ESP","ES","4256","right","Aleix Vidal",NA
"389","Spain","724","ESP","ES","75","Joaqu\u00edn","","Navarro Jim\u00e9nez","714","1990-01-23","177","DF","DEF","Defender","Spain","724","ESP","ES","4272","right","Ximo Navarro",NA
"390","Spain","724","ESP","ES","72","Borja","","Garc\u00eda Freire","756","1990-11-02","175","MD","MID","Midfielder","Spain","724","ESP","ES","4278","right","Borja Garc\u00eda",NA
"391","Spain","724","ESP","ES","81","David","","L\u00f3pez Silva","691","1989-10-09","183","DF","DEF","Defender","Spain","724","ESP","ES","4303","right","David L\u00f3pez",NA
"392","Spain","724","ESP","ES","77","Daniel","","Gim\u00e9nez Hern\u00e1ndez","684","1983-07-30","182","GK","GKP","Goalkeeper","Spain","724","ESP","ES","4319","right","Dani Gim\u00e9nez",NA
"393","Nigeria","566","NGA","NG","78","Chidozie","","Collins Awaziem","9606","1997-01-01","189","DF","DEF","Defender","Nigeria","566","NGA","NG","364772","right","C. Awaziem","16823"
"394","Italy","380","ITA","IT","67","Alessandro ","","Florenzi","3158","1991-03-11","173","MD","MID","Midfielder","Italy","380","ITA","IT","22566","right","A. Florenzi","3757"
"395","Spain","724","ESP","ES","64","Roberto","","Rom\u00e1n Triguero","712","1985-07-11","175","DF","DEF","Defender","Spain","724","ESP","ES","4326","right","Tito",NA
"396","Spain","724","ESP","ES","75","Javier","","Fuego Mart\u00ednez","682","1984-01-04","182","MD","MID","Midfielder","Spain","724","ESP","ES","4332","right","Javi Fuego",NA
"397","Spain","724","ESP","ES","85","Diego","","da Silva Costa","679","1988-10-07","188","FW","FWD","Forward","Brazil","76","BRA","BR","4338","right","Diego Costa","1598"
"398","Brazil","76","BRA","BR","65","Daniel","","Pacheco Lobato","698","1991-01-05","168","MD","MID","Midfielder","Spain","724","ESP","ES","4343","right","Dani Pacheco",NA
"399","Czech Republic","203","CZE","CZ","75","David","","Pavelka","4551","1991-05-18","185","MD","MID","Midfielder","Czech Republic","203","CZE","CZ","82644","right","D. Pavelka",NA
"400","Italy","380","ITA","IT","79","Mariano Dami\u00e1n","","Barbosa","682","1984-07-27","188","GK","GKP","Goalkeeper","Argentina","32","ARG","AR","4348","right","M. Barbosa",NA
"401","Spain","724","ESP","ES","81","Ra\u00fal","","Lizo\u00e1in Cruz","714","1991-01-27","187","GK","GKP","Goalkeeper","Spain","724","ESP","ES","4350","left","Ra\u00fal Lizo\u00e1in",NA
"402","Spain","724","ESP","ES","80","David","","Garc\u00eda Santana","714","1982-02-25","183","DF","DEF","Defender","Spain","724","ESP","ES","4355","right","David Garc\u00eda",NA
"403","Spain","724","ESP","ES","75","V\u00edctor","","Laguardia Cisneros","696","1989-11-05","185","DF","DEF","Defender","Spain","724","ESP","ES","4358","right","Laguardia",NA
"404","Spain","724","ESP","ES","80","Juan Pedro","","Ram\u00edrez L\u00f3pez","756","1991-06-30","190","DF","DEF","Defender","Spain","724","ESP","ES","4360","right","Juanpe",NA
"405","Spain","724","ESP","ES","70","Javi","","Castellano Betancor","714","1987-11-02","181","MD","MID","Midfielder","Spain","724","ESP","ES","4361","right","Javi Castellano",NA
"406","Spain","724","ESP","ES","70","Jer\u00f3nimo","","Figueroa Cabrera","714","1982-07-15","179","MD","MID","Midfielder","Spain","724","ESP","ES","4362","left","Momo",NA
"407","Spain","724","ESP","ES","78","Jos\u00e9 Vicente","","G\u00f3mez Umpi\u00e9rrez","714","1988-08-31","186","MD","MID","Midfielder","Spain","724","ESP","ES","4363","left","Vicente G\u00f3mez",NA
"408","Spain","724","ESP","ES","73","Roque","","Mesa Quevedo","680","1989-06-07","171","MD","MID","Midfielder","Spain","724","ESP","ES","4365","right","Roque Mesa",NA
"409","Spain","724","ESP","ES","71","Dani","","Castellano Betancor","714","1987-11-02","178","DF","DEF","Defender","Spain","724","ESP","ES","4371","left","Dani Castellano",NA
"410","Spain","724","ESP","ES","66","Lorenzo Jes\u00fas","","Mor\u00f3n Garc\u00eda","684","1993-12-30","180","FW","FWD","Forward","Spain","724","ESP","ES","364820","right","Loren Mor\u00f3n",NA
"411","Spain","724","ESP","ES","79","V\u00edctor","","Mach\u00edn P\u00e9rez","679","1989-11-02","184","MD","MID","Midfielder","Spain","724","ESP","ES","4375","right","Vitolo",NA
"412","Dominican Republic","214","DOM","DO","78","H\u00e9ctor Junior","","Firpo Adames","684","1996-08-22","184","DF","DEF","Defender","Dominican Republic","214","DOM","DO","364850","left","J. Firpo",NA
"413","Spain","724","ESP","ES","78","Rodrigo","","Hern\u00e1ndez Cascante","682","1996-06-22","190","MD","MID","Midfielder","Spain","724","ESP","ES","364860","right","Rodri","1604"
"414","Spain","724","ESP","ES","69","Adri\u00e1n","","Di\u00e9guez Grande","696","1996-02-04","187","DF","DEF","Defender","Spain","724","ESP","ES","364870","left","Adri\u00e1n Di\u00e9guez",NA
"415","Spain","724","ESP","ES","70","Jonathan","","Castro Otto","692","1994-03-03","175","DF","DEF","Defender","Spain","724","ESP","ES","4424","right","Jonny",NA
"416","Spain","724","ESP","ES","73","Borja","","Valle Balonga","677","1992-07-09","177","FW","FWD","Forward","Spain","724","ESP","ES","4440","right","Borja Valle",NA
"417","Croatia","191","HRV","HR","85","Tomi","","Juri\u0107","6425","1991-07-22","191","FW","FWD","Forward","Australia","36","AUS","AU","69978","right","T. Juri\u0107","8493"
"418","Russia","643","RUS","RU","82","Denis","","Glushakov","13888","1987-01-27","182","MD","MID","Midfielder","Russia","643","RUS","RU","101623","right","D. Glushakov",NA
"419","Spain","724","ESP","ES","80","Yuri","","Berchiche Izeta","3767","1990-02-10","181","DF","DEF","Defender","Spain","724","ESP","ES","4452","left","Yuri Berchiche",NA
"420","Spain","724","ESP","ES","91","Iago","","Herrer\u00edn Buis\u00e1n","678","1988-01-25","187","GK","GKP","Goalkeeper","Spain","724","ESP","ES","4476","right","Iago Herrer\u00edn",NA
"421","Spain","724","ESP","ES","76","Sa\u00fal","","\u00d1\u00edguez Esclapez","679","1994-11-21","184","MD","MID","Midfielder","Spain","724","ESP","ES","4488","left","Sa\u00fal","1598"
"422","China PR","156","CHN","CN","69","Yuning","","Zhang","2443","1997-01-05","185","FW","FWD","Forward","China PR","156","CHN","CN","364937","right","Zhang Yuning","9211"
"423","Spain","724","ESP","ES","70","Lucas","","V\u00e1zquez Iglesias","675","1991-07-01","173","FW","FWD","Forward","Spain","724","ESP","ES","4498","right","Lucas V\u00e1zquez","1598"
"424","Spain","724","ESP","ES","73","Daniel","","Carvajal Ramos","675","1992-01-11","173","DF","DEF","Defender","Spain","724","ESP","ES","4501","right","Daniel Carvajal","1598"
"425","Spain","724","ESP","ES","74","Omar","","Mascarell Gonz\u00e1lez","2462","1993-02-02","181","MD","MID","Midfielder","Spain","724","ESP","ES","4509","right","Omar Mascarell",NA
"426","Spain","724","ESP","ES","76","Pedro","","Mosquera Parada","677","1988-04-21","184","MD","MID","Midfielder","Spain","724","ESP","ES","4511","left","Pedro Mosquera",NA
"427","Spain","724","ESP","ES","74","Denis","","Cheryshev","674","1990-12-26","179","MD","MID","Midfielder","Russia","643","RUS","RU","4513","left","D. Cheryshev","14358"
"428","Greece","300","GRC","GR","77","Anastasios","","Donis","2445","1996-08-29","178","FW","FWD","Forward","England","0","XEN","","233910","right","A. Donis","12678"
